feature,type,plusType,functie,fysiekVoorkomen,plusFysiekVoorkomen,key,value
begroeidterreindeel,,,,groenvoorziening,struikrozen,landuse,flowerbed
begroeidterreindeel,,,,groenvoorziening,gras- en kruidachtigen,landcover,grass
begroeidterreindeel,,,,groenvoorziening,gras- en kruidachtigen,landuse,grass
begroeidterreindeel,,,,groenvoorziening,planten,landuse,flowerbed
begroeidterreindeel,,,,groenvoorziening,,natural,shrubbery
begroeidterreindeel,,,,groenvoorziening,bosplantsoen,landcover,trees
begroeidterreindeel,,,,grasland overig,,landcover,grass
begroeidterreindeel,,,,grasland overig,,landuse,grass
begroeidterreindeel,,,,groenvoorziening,heesters,natural,shrubbery
begroeidterreindeel,,,,groenvoorziening,bodembedekkers,natural,shrubbery
begroeidterreindeel,,,,struiken,,natural,scrub
onbegroeidterreindeel,,,,gesloten verharding,asfalt,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-asfalt)
onbegroeidterreindeel,,,,open verharding,gebakken klinkers,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-gebakken klinkers)
onbegroeidterreindeel,,,,onverhard,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (onverhard-)
onbegroeidterreindeel,,,,zand,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (zand-)
onbegroeidterreindeel,,,,zand,,landcover,sand
onbegroeidterreindeel,,,,zand,zandverstuiving,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (zand-zandverstuiving)
onbegroeidterreindeel,,,,zand,zandverstuiving,landcover,sand
onbegroeidterreindeel,,,,gesloten verharding,cementbeton,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-cementbeton)
onbegroeidterreindeel,,,,half verhard,grasklinkers,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-grasklinkers)
onbegroeidterreindeel,,,,open verharding,tegels,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-tegels)
onbegroeidterreindeel,,,,onverhard,zand,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (onverhard-zand)
onbegroeidterreindeel,,,,onverhard,zand,landcover,sand
onbegroeidterreindeel,,,,half verhard,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-)
onbegroeidterreindeel,,,,erf,,landuse,residential
onbegroeidterreindeel,,,,half verhard,gravel,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-gravel)
onbegroeidterreindeel,,,,open verharding,betonstraatstenen,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-betonstraatstenen)
onbegroeidterreindeel,,,,open verharding,sierbestrating,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-sierbestrating)
onbegroeidterreindeel,,,,gesloten verharding,kunststof,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-kunststof)
onbegroeidterreindeel,,,,gesloten verharding,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-)
onbegroeidterreindeel,,,,open verharding,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-)
onbegroeidterreindeel,,,,onverhard,boomschors,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (onverhard-boomschors)
onbegroeidterreindeel,,,,half verhard,grind,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-grind)
onbegroeidterreindeel,,,,open verharding,beton element,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-beton element)
ondersteunendwaterdeel,"oever, slootkant",,,,,landuse,grass
ondersteunendwaterdeel,"oever, slootkant",,,,,slope,yes
ondersteunendwaterdeel,slik,,,,,landuse,grass
ondersteunendwegdeel,,,verkeerseiland,open verharding,beton element,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,beton element,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,gebakken klinkers,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,gebakken klinkers,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,asfalt,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,asfalt,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,cementbeton,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,cementbeton,landuse,highway
ondersteunendwegdeel,,,berm,groenvoorziening,,area:highway,verge
ondersteunendwegdeel,,,berm,groenvoorziening,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,,landuse,highway
ondersteunendwegdeel,,,berm,gesloten verharding,,area:highway,verge
ondersteunendwegdeel,,,berm,gesloten verharding,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,half verhard,grasklinkers,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,half verhard,grasklinkers,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,sierbestrating,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,sierbestrating,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,groenvoorziening,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,groenvoorziening,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,betonstraatstenen,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,betonstraatstenen,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,tegels,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,tegels,landuse,highway
waterdeel,"greppel, droge sloot",,,,,natural,water
waterdeel,"greppel, droge sloot",,,,,intermittent,yes
waterdeel,"greppel, droge sloot",,,,,water,ditch
waterdeel,waterloop,beek,,,,natural,water
waterdeel,waterloop,beek,,,,water,stream
waterdeel,waterloop,bron,,,,natural,spring
waterdeel,waterloop,gracht,,,,natural,water
waterdeel,waterloop,gracht,,,,water,canal
waterdeel,waterloop,kanaal,,,,natural,water
waterdeel,waterloop,kanaal,,,,water,canal
waterdeel,waterloop,rivier,,,,natural,water
waterdeel,waterloop,rivier,,,,water,river
waterdeel,waterloop,sloot,,,,natural,water
waterdeel,waterloop,sloot,,,,water,ditch
waterdeel,waterloop,,,,,natural,water
waterdeel,watervlakte,haven,,,,natural,water
waterdeel,watervlakte,"meer, plas, ven, vijver",,,,natural,water
waterdeel,watervlakte,"meer, plas, ven, vijver",,,,water,lake
waterdeel,watervlakte,,,,,natural,water
waterdeel,zee,,,,,place,sea
waterdeel,zee,,,,,natural,water
wegdeel,,,fietspad,,,area:highway,cycleway
wegdeel,,,fietspad,,,landuse,highway
wegdeel,,,voetpad,,,area:highway,footway
wegdeel,,,voetpad,,,landuse,highway
wegdeel,,,voetpad op trap,,,area:highway,steps
wegdeel,,,voetpad op trap,,,landuse,highway
wegdeel,,,rijbaan lokale weg,,,area:highway,residential
wegdeel,,,rijbaan lokale weg,,,landuse,highway
wegdeel,,,voetgangersgebied,,,area:highway,pedestrian
wegdeel,,,voetgangersgebied,,,landuse,highway
wegdeel,,,rijbaan regionale weg-verkeersdrempel,,,area:highway,residential
wegdeel,,,rijbaan regionale weg-verkeersdrempel,,,bgt_attention,rijbaan regionale weg VS residential
wegdeel,,,rijbaan regionale weg-verkeersdrempel,,,landuse,highway
wegdeel,,,OV-baan,,,area:highway,busway
wegdeel,,,OV-baan,,,landuse,highway
wegdeel,,,rijbaan lokale weg-verkeersdrempel,,,area:highway,residential
wegdeel,,,rijbaan lokale weg-verkeersdrempel,,,landuse,highway
wegdeel,,,overweg,,,area:highway,unclassified
wegdeel,,,overweg,,,landuse,highway
wegdeel,,,inrit,,,area:highway,driveway
wegdeel,,,inrit,,,landuse,highway
wegdeel,,,parkeervlak,,,parking,street_side
wegdeel,,,parkeervlak,,,area:highway,service
wegdeel,,,parkeervlak,,,amenity,parking
wegdeel,,,parkeervlak,,,landuse,highway
wegdeel,,,spoorbaan,,,landuse,railway
wegdeel,,,baan voor vliegverkeer,,,landuse,highway 
wegdeel,,,rijbaan autosnelweg,,,landuse,highway 
wegdeel,,,rijbaan autoweg,,,landuse,highway 
wegdeel,,,ruiterpad,,,landuse,highway 
wegdeel,,,verkeerseiland,,,landuse,highway 
wegdeel,,,woonerf,,,landuse,highway 
wegdeel,,,baan voor vliegverkeer,,,area:aeroway,runway 
wegdeel,,,rijbaan autosnelweg,,,area:highway,highway 
wegdeel,,,rijbaan autoweg,,,area:highway,trunk 
wegdeel,,,ruiterpad,,,area:highway,bridleway 
wegdeel,,,verkeerseiland,,,area:highway,traffic_island 
wegdeel,,,woonerf,,,area:highway,living_street 
begroeidterreindeel,,,,grasland agrarisch ,,landuse,grass 
begroeidterreindeel,,,,grasland agrarisch ,,landcover,grass
begroeidterreindeel,,,,loofbos ,,landcover ,trees 
begroeidterreindeel,,,,bouwland ,,landuse,farmland 
begroeidterreindeel,,,,houtwal ,,natural,wood 
begroeidterreindeel,,,,gemengd bos ,,natural,wood 
begroeidterreindeel,,,,gemengd bos ,,landcover,trees
begroeidterreindeel,,,,gemengd bos ,,leaf_type ,mixed
begroeidterreindeel,,,,naaldbos ,,natural,wood 
begroeidterreindeel,,,,naaldbos ,,landcover,trees
begroeidterreindeel,,,,naaldbos ,,leaf_type ,needleleaved 
begroeidterreindeel,,,,naaldbos ,,leaf_cycle ,evergreen
begroeidterreindeel,,,,rietland ,,wetland,reedbed 
begroeidterreindeel,,,,heide ,,natural,heath
begroeidterreindeel,,,,boomteelt ,,landuse,plant_nursery 
begroeidterreindeel,,,,fruitteelt ,,landuse,orchard 
begroeidterreindeel,,,,kwelder ,,natural,wetland 
begroeidterreindeel,,,,kwelder ,,wetland,saltmarsh 
begroeidterreindeel,,,,duin ,,natural,dune
begroeidterreindeel,,,,moeras ,,natural,wetland 
begroeidterreindeel,,,,moeras ,,wetland,swamp 
begroeidterreindeel,,,,loofbos ,,natural ,wood 
begroeidterreindeel,,,,loofbos ,,leaf_type ,broadleaved 
begroeidterreindeel,,,,loofbos ,,leaf_cycle ,deciduous 
begroeidterreindeel,,,,bouwland ,akkerbouw ,landuse,farmland 
begroeidterreindeel,,,,bouwland ,vollegrondsteelt ,landuse,farmland 
begroeidterreindeel,,,,bouwland ,braakliggend ,landuse,farmland 
begroeidterreindeel,,,,fruitteelt ,hoogstam boomgaarden ,landuse,orchard 
begroeidterreindeel,,,,fruitteelt ,laagstam boomgaarden ,landuse,orchard 
begroeidterreindeel,,,,fruitteelt ,klein fruit ,landuse,orchard 
begroeidterreindeel,,,,bouwland ,bollenteelt ,landuse,farmland 
begroeidterreindeel,,,,fruitteelt ,wijngaarden ,landuse,orchard 
begroeidterreindeel,,,,loofbos ,griend en hakhout ,landcover,trees 
begroeidterreindeel,,,,loofbos ,griend en hakhout ,natural,wood 
begroeidterreindeel,,,,duin ,open duinvegetatie ,natural,dune 
begroeidterreindeel,,,,duin ,gesloten duinvegetatie ,natural,dune 
begroeidterreindeel,,,,loofbos ,griend en hakhout ,leaf_type ,broadleaved 
begroeidterreindeel,,,,loofbos ,griend en hakhout ,leaf_cycle ,deciduous 
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,gras- en kruidachtigen ,grass ,
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,heesters ,shrubbery ,
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,planten ,flowerbed ,
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,struikrozen ,flowerbed ,
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,bosplantsoen ,trees ,
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,gras- en kruidachtigen ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,heesters ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,planten ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,struikrozen ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,bosplantsoen ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,gras- en kruidachtigen ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,heesters ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,planten ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,struikrozen ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,groenvoorziening ,bosplantsoen ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,grind ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,gravel ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,puin ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,schelpen ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,grind ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,gravel ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,puin ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,half verhard ,schelpen ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,onverhard ,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,onverhard ,zand ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,onverhard ,boomschors ,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland ,onverhard ,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,onverhard ,zand ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,onverhard ,boomschors ,landuse,highway
ondersteunendwegdeel,,,verkeerseiland ,onverhard ,zand ,landcover,sand
ondersteunendwegdeel,,,berm ,groenvoorziening ,gras- en kruidachtigen ,landuse,highway
ondersteunendwegdeel,,,berm ,half verhard ,grasklinkers ,landuse,highway
ondersteunendwegdeel,,,berm ,onverhard ,,landuse,highway
ondersteunendwegdeel,,,berm ,open verharding ,,landuse,highway
ondersteunendwegdeel,,,berm ,open verharding ,betonstraatstenen ,landuse,highway
ondersteunendwegdeel,,,berm ,gesloten verharding ,cementbeton ,landuse,highway
ondersteunendwegdeel,,,berm ,open verharding ,beton element ,landuse,highway
ondersteunendwegdeel,,,berm ,gesloten verharding ,asfalt ,landuse,highway
ondersteunendwegdeel,,,berm ,half verhard ,,landuse,highway
ondersteunendwegdeel,,,berm ,groenvoorziening ,heesters ,landuse,highway
ondersteunendwegdeel,,,berm ,half verhard ,grind ,landuse,highway
ondersteunendwegdeel,,,berm ,groenvoorziening ,bosplantsoen ,landuse,highway
ondersteunendwegdeel,,,berm ,open verharding ,tegels ,landuse,highway
ondersteunendwegdeel,,,berm ,open verharding ,gebakken klinkers ,landuse,highway
ondersteunendwegdeel,,,berm ,half verhard ,puin ,landuse,highway
ondersteunendwegdeel,,,berm ,onverhard ,zand ,landuse,highway
ondersteunendwegdeel,,,berm ,groenvoorziening ,planten ,landuse,highway
ondersteunendwegdeel,,,berm ,groenvoorziening ,bodembedekkers ,landuse,highway
ondersteunendwegdeel,,,berm ,open verharding ,sierbestrating ,landuse,highway
ondersteunendwegdeel,,,berm ,groenvoorziening ,struikrozen ,landuse,highway
ondersteunendwegdeel,,,berm ,half verhard ,gravel ,landuse,highway
ondersteunendwegdeel,,,berm ,half verhard ,schelpen ,landuse,highway
ondersteunendwegdeel,,,berm ,onverhard ,boomschors ,landuse,highway
ondersteunendwegdeel,,,berm ,groenvoorziening ,gras- en kruidachtigen ,area:highway,verge
ondersteunendwegdeel,,,berm ,half verhard ,grasklinkers ,area:highway,verge
ondersteunendwegdeel,,,berm ,onverhard ,,area:highway,verge
ondersteunendwegdeel,,,berm ,open verharding ,,area:highway,verge
ondersteunendwegdeel,,,berm ,open verharding ,betonstraatstenen ,area:highway,verge
ondersteunendwegdeel,,,berm ,gesloten verharding ,cementbeton ,area:highway,verge
ondersteunendwegdeel,,,berm ,open verharding ,beton element ,area:highway,verge
ondersteunendwegdeel,,,berm ,gesloten verharding ,asfalt ,area:highway,verge
ondersteunendwegdeel,,,berm ,half verhard ,,area:highway,verge
ondersteunendwegdeel,,,berm ,groenvoorziening ,heesters ,area:highway,verge
ondersteunendwegdeel,,,berm ,half verhard ,grind ,area:highway,verge
ondersteunendwegdeel,,,berm ,groenvoorziening ,bosplantsoen ,area:highway,verge
ondersteunendwegdeel,,,berm ,open verharding ,tegels ,area:highway,verge
ondersteunendwegdeel,,,berm ,open verharding ,gebakken klinkers ,area:highway,verge
ondersteunendwegdeel,,,berm ,half verhard ,puin ,area:highway,verge
ondersteunendwegdeel,,,berm ,onverhard ,zand ,area:highway,verge
ondersteunendwegdeel,,,berm ,groenvoorziening ,planten ,area:highway,verge
ondersteunendwegdeel,,,berm ,groenvoorziening ,bodembedekkers ,area:highway,verge
ondersteunendwegdeel,,,berm ,open verharding ,sierbestrating ,area:highway,verge
ondersteunendwegdeel,,,berm ,groenvoorziening ,struikrozen ,area:highway,verge
ondersteunendwegdeel,,,berm ,half verhard ,gravel ,area:highway,verge
ondersteunendwegdeel,,,berm ,half verhard ,schelpen ,area:highway,verge
ondersteunendwegdeel,,,berm ,onverhard ,boomschors ,area:highway,verge
ondersteunendwegdeel,,,berm ,groenvoorziening ,gras- en kruidachtigen ,landcover,grass 
ondersteunendwegdeel,,,berm ,groenvoorziening ,heesters ,landcover,shrubbery 
ondersteunendwegdeel,,,berm ,groenvoorziening ,bosplantsoen ,landcover,trees 
ondersteunendwegdeel,,,berm ,onverhard ,zand ,landcover,sand 
ondersteunendwegdeel,,,berm ,groenvoorziening ,planten ,landcover,flowerbed 
ondersteunendwegdeel,,,berm ,groenvoorziening ,struikrozen ,landcover,flowerbed 
